name,sweet,acidity,body,tannin,price,abv,type,nation,year
"Freixenet, Mia Fresh&Crisp;",SWEET4,ACIDITY3,BODY1,TANNIN1,15000,6~7,Sparkling,Spain,0
"Justino’s Madeira, Verdelho Colheita 1997",SWEET4,ACIDITY3,BODY5,TANNIN2,180000,20,Fortified,Portugal,1997
CASE BASSE SOLDERA,SWEET1,ACIDITY2,BODY3,TANNIN5,1260000,14~15,Red,Italy,2014
Band of Vintners Consortium,SWEET1,ACIDITY2,BODY5,TANNIN5,90000,14.5,Red,USA,2015
"Sommos, Gewurztraminer",SWEET1,ACIDITY2,BODY1,TANNIN1,46000,13~14,White,Spain,2017
"El Toqui, Prestige Merlot ",SWEET1,ACIDITY1,BODY3,TANNIN3,55000,13.5,Red,Chile,2019
"Pulpoloco, Sangria",SWEET3,ACIDITY1,BODY3,TANNIN1,18000,7,Etc,Spain,0
"Aleixo, Garcia Red",SWEET2,ACIDITY2,BODY2,TANNIN2,8000,13.5~14.5,Red,Portugal,0
"Leonard Kreusch, Santa Anita Gluhwein",SWEET3,ACIDITY1,BODY4,TANNIN1,18000,8~9,Etc,Germany,0
Vivello Rosso Sweet,SWEET5,ACIDITY2,BODY3,TANNIN2,27000,9,Red,Italy,0
"Inwinectus, Syrah",SWEET1,ACIDITY1,BODY3,TANNIN4,42000,13~14,Red,France,2019
"Passage, California Zinfandel",SWEET1,ACIDITY1,BODY4,TANNIN3,20000,14~15,Red,USA,2018
"Burmester, Tawny Port ",SWEET5,ACIDITY1,BODY5,TANNIN3,42000,19~20,Fortified,Portugal,0
"Porto Valdouro, Tawny Port",SWEET5,ACIDITY3,BODY5,TANNIN3,30000,19~20,Fortified,Portugal,0
"Just, Sauvignon Blanc",SWEET3,ACIDITY3,BODY1,TANNIN1,5500,12~13,White,France,0
Gloria Tawny Porto,SWEET4,ACIDITY2,BODY4,TANNIN3,49000,20~21,Fortified,Portugal,0
